VALUE;TIMESTAMP;CONCENTRATION
1877.05;2024-07-24 11:08:19;0
1874.6;2024-07-24 11:08:19;0
1876.05;2024-07-24 11:08:19;0
1871.1;2024-07-24 11:08:19;0
1870.7;2024-07-24 11:08:19;0
1870.1;2024-07-24 11:08:19;0
1870.35;2024-07-24 11:08:19;0
1865.65;2024-07-24 11:08:19;0
1857.05;2024-07-24 11:08:19;0
1863.3;2024-07-24 11:08:19;0
1870.7;2024-07-24 11:08:19;0
1860.25;2024-07-24 11:08:20;0
1847.35;2024-07-24 11:08:20;0
1836.2;2024-07-24 11:08:20;0
1849.1;2024-07-24 11:08:20;0
1860.6;2024-07-24 11:08:20;0
1868.15;2024-07-24 11:08:20;0
1873.25;2024-07-24 11:08:20;0
1864.65;2024-07-24 11:08:20;0
1865.65;2024-07-24 11:08:20;0
1856.8;2024-07-24 11:08:20;0
1865.7;2024-07-24 11:08:20;0
1869.85;2024-07-24 11:08:20;0
1868.55;2024-07-24 11:08:21;0
1869.1;2024-07-24 11:08:21;0
1869.9;2024-07-24 11:08:21;0
1865.05;2024-07-24 11:08:21;0
1863.45;2024-07-24 11:08:21;0
1862.65;2024-07-24 11:08:21;0
1862.05;2024-07-24 11:08:21;0
1859.0;2024-07-24 11:08:21;0
1860.8;2024-07-24 11:08:21;0
1865.8;2024-07-24 11:08:21;0
1874.8;2024-07-24 11:08:21;0
1873.35;2024-07-24 11:08:21;0
1870.55;2024-07-24 11:08:21;0
1875.35;2024-07-24 11:08:22;0
1874.1;2024-07-24 11:08:22;0
1873.65;2024-07-24 11:08:22;0
1866.9;2024-07-24 11:08:22;0
1859.2;2024-07-24 11:08:22;0
1862.2;2024-07-24 11:08:22;0
1868.9;2024-07-24 11:08:22;0
1871.75;2024-07-24 11:08:22;0
1873.4;2024-07-24 11:08:22;0
1875.75;2024-07-24 11:08:22;0
1872.1;2024-07-24 11:08:22;0
1875.1;2024-07-24 11:08:22;0
1878.0;2024-07-24 11:08:23;0
1877.7;2024-07-24 11:08:23;0
1858.65;2024-07-24 11:08:23;0
1863.35;2024-07-24 11:08:23;0
1861.55;2024-07-24 11:08:23;0
1866.1;2024-07-24 11:08:23;0
1862.95;2024-07-24 11:08:23;0
1869.55;2024-07-24 11:08:23;0
1893.1;2024-07-24 11:08:23;0
1881.45;2024-07-24 11:08:23;0
1874.9;2024-07-24 11:08:23;0
1870.0;2024-07-24 11:08:23;0
1855.35;2024-07-24 11:08:23;0
1856.15;2024-07-24 11:08:24;0
1850.55;2024-07-24 11:08:24;0
1849.75;2024-07-24 11:08:24;0
1857.55;2024-07-24 11:08:24;0
1860.65;2024-07-24 11:08:24;0
1867.25;2024-07-24 11:08:24;0
1869.75;2024-07-24 11:08:24;0
1872.1;2024-07-24 11:08:24;0
1858.3;2024-07-24 11:08:24;0
1851.9;2024-07-24 11:08:24;0
1863.25;2024-07-24 11:08:24;0
1869.75;2024-07-24 11:08:24;0
1870.3;2024-07-24 11:08:25;0
1874.1;2024-07-24 11:08:25;0
1871.95;2024-07-24 11:08:25;0
1872.6;2024-07-24 11:08:25;0
1872.95;2024-07-24 11:08:25;0
1862.2;2024-07-24 11:08:25;0
1854.5;2024-07-24 11:08:25;0
1865.75;2024-07-24 11:08:25;0
1874.75;2024-07-24 11:08:25;0
1872.45;2024-07-24 11:08:25;0
1870.25;2024-07-24 11:08:25;0
1867.05;2024-07-24 11:08:25;0
1857.35;2024-07-24 11:08:25;0
1861.55;2024-07-24 11:08:26;0
1860.8;2024-07-24 11:08:26;0
1854.0;2024-07-24 11:08:26;0
1856.0;2024-07-24 11:08:26;0
1863.15;2024-07-24 11:08:26;0
1869.4;2024-07-24 11:08:26;0
1870.85;2024-07-24 11:08:26;0
1874.9;2024-07-24 11:08:26;0
1876.8;2024-07-24 11:08:26;0
1873.1;2024-07-24 11:08:26;0
1873.1;2024-07-24 11:08:26;0
1869.6;2024-07-24 11:08:26;0
1863.85;2024-07-24 11:08:27;0
1864.9;2024-07-24 11:08:27;0
1866.0;2024-07-24 11:08:27;0
1872.15;2024-07-24 11:08:27;0
1870.4;2024-07-24 11:08:27;0
1870.5;2024-07-24 11:08:27;0
1871.4;2024-07-24 11:08:27;0
1874.1;2024-07-24 11:08:27;0
1875.5;2024-07-24 11:08:27;0
1866.3;2024-07-24 11:08:27;0
1813.55;2024-07-24 11:08:27;0
1817.75;2024-07-24 11:08:27;0
1842.75;2024-07-24 11:08:27;0
1859.05;2024-07-24 11:08:28;0
1869.7;2024-07-24 11:08:28;0
1871.55;2024-07-24 11:08:28;0
1874.25;2024-07-24 11:08:28;0
1873.45;2024-07-24 11:08:28;0
1873.8;2024-07-24 11:08:28;0
1873.3;2024-07-24 11:08:28;0
1870.65;2024-07-24 11:08:28;0
1863.85;2024-07-24 11:08:28;0
1863.8;2024-07-24 11:08:28;0
1863.8;2024-07-24 11:08:28;0
1865.15;2024-07-24 11:08:28;0
